"112142140187
","RIG
","IN
",2019-03-30 16:22:11.588915
"112142140187
","RIG
","IN
",2019-03-30 16:24:42.246929
"112142140187
","RIG
","OUT
",2019-03-30 16:24:45.266012
"112142140187
","RIG
","IN
",2019-03-30 16:24:48.305246
"112142140187
","RIG
","OUT
",2019-03-30 16:24:51.349241
"112142140187
","RIG
","IN
",2019-03-30 16:24:54.391924
"112142140187
","RIG
","OUT
",2019-03-30 16:24:57.435996
"112142140187
","RIG
","IN
",2019-03-30 16:25:00.479174
"112142140187
","RIG
","OUT
",2019-03-30 16:25:03.523288
"112142140187
","RIG
","IN
",2019-03-30 16:25:06.566172
"112142140187
","RIG
","OUT
",2019-03-30 16:25:09.610463
"112142140187
","RIG
","IN
",2019-03-30 16:25:12.653662
"112142140187
","RIG
","OUT
",2019-03-30 16:25:15.696776
"112142140187
","RIG
","IN
",2019-03-30 16:25:18.740884
"112142140187
","RIG
","OUT
",2019-03-30 16:25:21.784094
"112142140187
","RIG
","IN
",2019-03-30 16:25:24.828158
"112142140187
","RIG
","OUT
",2019-03-30 16:25:27.871239
"112142140187
","RIG
","IN
",2019-03-30 16:25:30.915308
"112142140187
","RIG
","OUT
",2019-03-30 16:25:33.958540
"112142140187
","RIG
","IN
",2019-03-30 16:25:37.002681
"112142140187
","RIG
","OUT
",2019-03-30 16:25:40.045864
"112142140187
","RIG
","IN
",2019-03-30 16:25:43.088856
